Pid,Lon,Lat,DisYear1,DisDOY1,DisYear2,DisDOY2
119,-121.2479096,37.12305991,2017,286,0,0
120,-121.4671116,37.3781714,0,0,0,0
121,-121.0094847,37.87453092,0,0,0,0
122,-121.3139209,37.67691515,2015,32,0,0
123,-121.3303495,37.35326547,0,0,0,0
124,-120.8869569,37.45380837,0,0,0,0
125,-120.8512176,37.72977703,0,0,0,0
126,-120.9308916,37.69148298,0,0,0,0
127,-120.8998448,37.15834132,0,0,0,0
128,-121.2501386,37.32434519,0,0,0,0
129,-121.1723815,37.78885205,0,0,0,0
130,-121.0930838,37.22465848,2016,91,2018,337
131,-121.7435032,37.54301692,0,0,0,0
132,-121.562144,37.48102989,0,0,0,0
133,-121.1113506,37.2336614,2017,93,0,0
134,-121.487732,37.54030904,0,0,0,0
135,-120.9062742,37.91209881,2016,163,2019,75
136,-121.5280138,37.86222061,0,0,0,0
137,-121.8187178,37.35721809,0,0,0,0
138,-121.4989926,37.49636941,0,0,0,0
139,-121.1895388,37.0190055,0,0,0,0
140,-120.657904,37.82819424,0,0,0,0
141,-121.0124377,37.55864628,0,0,0,0
142,-120.9814246,37.39024582,0,0,0,0
143,-121.1668234,37.82070063,0,0,0,0
144,-121.2172634,37.04123348,0,0,0,0
145,-120.7893621,37.30091741,0,0,0,0
146,-121.3894384,37.04276278,0,0,0,0
147,-121.3036545,37.31209086,0,0,0,0
148,-121.6000917,37.92255466,2015,152,2019,99
149,-120.9266246,37.61517443,0,0,0,0
150,-121.1821276,37.82074859,2016,36,0,0
151,-121.4276546,37.31487646,0,0,0,0
152,-120.9894161,37.86796269,0,0,0,0
153,-121.7341411,37.27472172,0,0,0,0
154,-121.8575753,37.46943981,0,0,0,0
155,-121.1241788,37.62923998,0,0,0,0
156,-121.053047,37.42064312,2018,152,0,0
157,-121.1552937,37.23460403,0,0,0,0
158,-120.75249,37.12274955,2015,105,0,0
159,-121.0765667,37.61837351,2017,165,0,0
160,-121.213054,37.62495478,2018,85,2020,87
161,-121.5426763,37.59634514,0,0,0,0
162,-121.8055099,37.28303255,0,0,0,0
163,-120.972401,37.08000619,2016,188,0,0
164,-121.6678492,37.18759111,0,0,0,0
165,-121.5272231,37.07366258,0,0,0,0
166,-121.5528894,37.07850828,0,0,0,0
167,-121.1830952,37.7608113,0,0,0,0
168,-121.2062932,37.09445207,0,0,0,0
169,-120.9061085,36.98189483,2017,166,0,0
170,-120.800813,37.16637243,2018,201,0,0
